news_id,titulo,status,num_candidatos,num_roles,num_tripletas_raw,num_tripletas_aceptadas,num_tripletas_rechazadas
29,El rector de la Universidad de Castilla-La Mancha asume la presidencia semestral del Grupo 9 de Universidades,ok,1,1,2,1,1
30,"El investigador de la Universidad de Oviedo Saúl Sal Sarria, segundo premio Luis Felipe Torrente de Divulgación sobre Medicina y Salud",ok,6,1,1,1,0
31,La Universidad de Oviedo expresa su solidaridad con el pueblo de Venezuela tras los terremotos,sin_candidatos,0,0,0,0,0
32,"Asturias consolida un modelo productivo más diversificado, innovador y competitivo, con al menos 15 sectores estratégicos en crecimiento",ok,3,3,4,2,2
33,Las plantas pueden adaptarse al cambio climático en cuestión de metros,sin_candidatos,0,0,0,0,0
34,La Universidad de Oviedo transforma las jornadas de innovación docente en un congreso científico internacional y duplica  la participación,ok,28,7,3,1,2
35,La Jornada de Doctorado de la Universidad de Oviedo reúne a 224 investigadores e investigadoras en la nueva Escuela Internacional de Doctorado ‘Paz Suárez Rendueles’,ok,31,13,0,0,0
36,El Campus de Mieres acoge a jóvenes de todo el Estado para abordar el ciclo intergeneracional de la pobreza,ok,1,1,0,0,0
37,La Universidad de Oviedo cierra el ejercicio 2025 con un remanente de tesorería no afectado positivo de 776.766 euros,ok,2,2,0,0,0
38,4Space Uniovi se clasifica por segundo año consecutivo para la final mundial del European Rover Challenge,sin_candidatos,0,0,0,0,0
39,"El rector de la Universidad de Oviedo, Ignacio Villaverde, accede a la Vicepresidencia de la Red CRUSOE",ok,6,1,0,0,0
40,La Universidad de Oviedo acoge la entrega de los Premios Santander X a Proyectos Emprendedores Universitarios y Startup Universitaria y la Beca Excelencia 360º,ok,29,19,2,0,2
41,La Facultad de Economía y Empresa de la Universidad de Oviedo exhibe un archivo internacional único para entender la economía moderna,ok,5,5,4,0,4
42,La Universidad de Oviedo y el Gobierno del Principado recuperan una guía divulgativa sobre el eclipse publicada coincidiendo con el ‘apagón’ solar del año 1905,ok,6,3,2,0,2
43,La Universidad de Oviedo extiende su oferta académica al mes de julio con doce cursos de verano,sin_candidatos,0,0,0,0,0
44,Un estudiante de la Universidad de Oviedo gana el premio internacional de poesía Antonio Gala,sin_candidatos,0,0,0,0,0
45,87 jóvenes concluyen con éxito el programa Mentoring de Compromiso Asturias,ok,3,3,0,0,0
46,La Universidad de Oviedo logra tres premios y tres accésits en las XIII Jornadas Doctorales del G-9,ok,5,3,4,3,1
47,El Campus de Mieres acoge el acto ‘Rector Alas’ de toma de posesión y reconocimiento de cargos académicos y funcionariado,ok,5,5,0,0,0
48,Astrónomos de Light Bridges y la Universidad de Oviedo detectan que los asteroides metálicos giran más rápido que los demás,ok,1,1,2,1,1
49,Las mejores tesis en salud de la Universidad de Oviedo reciben los Premios RAMPRA 2026,ok,15,9,5,2,3
50,Premio de la Comisión Histórica de Cambridge a la preservación del patrimonio histórico al edificio del Real Colegio Complutense en Harvard,sin_candidatos,0,0,0,0,0
51,"INGENIUM avanza en Ruan hacia una nueva etapa de cooperación universitaria europea más estable, sostenible y estructurada",ok,10,10,4,2,2
52,La Universidad de Oviedo reconoce el compromiso de estudiantes y centros con la donación de sangre,ok,3,2,0,0,0
53,"Villaverde defiende a las universidades públicas como garantes de la libertad, la democracia y la igualdad en su investidura como doctor honoris causa por la Universidad de Rouen Normandía",ok,1,1,2,1,1
54,"La Sala de Exposiciones de la Universidad de Oviedo inaugura ‘Raigambre’, un diálogo entre la obra de Agustín García y la poesía de Aurelio González Ovies",skip_length_limit,0,0,0,0,0
55,Más de 300 investigadores se darán cita en Gijón en la XXX Reunión Bienal del Grupo Especializado de Química Orgánica (GEQOR 2026),sin_candidatos,0,0,0,0,0
56,La conexión entre la internacionalización y la cooperación universitaria al desarrollo centran la reunión del G-9 de Universidades celebrada en Pamplona,ok,28,1,0,0,0
57,El equipo masculino de la Universidad de Oviedo asciende a División de Honor del atletismo nacional,ok,3,1,0,0,0
58,La Universidad de Oviedo identifica qué plantas alpinas tendrán más dificultades para regenerarse por el cambio climático,ok,2,1,1,1,0
59,"Jazz Europa convertirá la Universidad de Oviedo en un espacio de creación, intercambio y conexión europea a través de la música",ok,33,1,1,0,1
60,"El 95,12 % del estudiantado aprueba la PAU en Asturias en la convocatoria de junio",sin_candidatos,0,0,0,0,0
61,El equipo de fútbol sala del PTGAS de la Universidad de Oviedo logra un quinto puesto en el campeonato nacional de Almería,ok,5,5,0,0,0
62,La Universidad de Oviedo otorga el doctorado ‘Honoris Causa’ a Víctor Manuel para reconocer su trayectoria y su canto a la memoria de Asturias,ok,9,8,3,2,1
63,"El presidente de CRUE pide un plan integral para salvaguardar la Universidad como ""ascensor social""",sin_candidatos,0,0,0,0,0
64,"La Universidad de Oviedo convertirá sus campus universitarios en entornos más biodiversos, saludables y sostenibles",ok,4,4,1,0,1
65,Mares Circulares entrega a la Universidad de Oviedo un banco fabricado con plástico recogido del mar en reconocimiento a su compromiso medioambiental,ok,23,1,2,2,0
66,"Llegan los primeros INGENIUM Pathways a la Universidad de Oviedo, los nuevos itinerarios que dan una dimensión internacional al título y lo adaptan al perfil de cada estudiante",sin_candidatos,0,0,0,0,0
67,La estudiante Ana Alonso recibe el Premio Impacto Positivo de la Universidad de Oviedo,ok,5,5,0,0,0
68,La Facultad de Formación del Profesorado y Educación de la Universidad de Oviedo reconoce a los mejores proyectos de innovación docente de Asturias,ok,102,126,3,0,3
69,La Universidad de Oviedo analiza los rasgos psicológicos y de personalidad en deportistas de ultrarresistencia,ok,3,2,2,0,2
70,La Cátedra de HUNOSA recibe un premio EnerAgen por su labor de divulgación sobre las energías renovables y la transición energética,ok,4,2,0,0,0
71,El Consejo de Gobierno da luz verde al Plan de Ordenación Docente para el próximo curso académico,ok,13,12,4,2,2
72,"Claudia Cuesta González, del Colegio Internacional Meres, obtiene el primer premio de la XIX Olimpiada de Economía",ok,11,10,0,0,0
73,El uso de la inteligencia artificial generativa centra las II Jornadas de Innovación Educativa del Grupo 9 de Universidades (G-9),ok,5,5,0,0,0
74,La Universidad de Oviedo y el Ayuntamiento de Avilés celebran el 20 aniversario del Centro de Servicios,ok,23,19,0,0,0
75,La Universidad de Oviedo y HUNOSA refuerzan su colaboración para impulsar la investigación y la formación en procesamiento de minerales,ok,1,1,3,0,3
76,La Universidad de Oviedo y Universal Plastic firman un convenio para impulsar la innovación tecnológica aplicada a los océanos,ok,4,4,2,0,2
77,La banda metal Midriasis se impone en la final del VII Certamen Musical de la Universidad de Oviedo,ok,12,12,0,0,0
78,Un artículo sobre el uso del término bullying en castellano y un poema de Ángel González abren los exámenes de la PAU en Asturias,ok,3,1,0,0,0
79,Una investigación de la Universidad de Oviedo analiza el potencial de la música para reducir el estrés en pacientes críticos,ok,11,3,3,0,3
80,"Javier Fernández Teruelo, reelegido presidente de la Conferencia de Decanas y Decanos de Facultades de Derecho de España",ok,8,1,0,0,0
81,Crue - Secretarías Generales aborda los principales retos normativos en la Universidad de La Laguna,ok,26,19,0,0,0
82,Un total de 5.157 estudiantes se examinan de la PAU en Asturias la próxima semana,ok,2,1,1,0,1
83,INGENIUM lidera la iniciativa de ocho alianzas europeas para extender la financiación Erasmus+ KA131 a los Joint Programmes,sin_candidatos,0,0,0,0,0
84,La Universidad de Oviedo lidera un proyecto nacional para evaluar el impacto de contaminantes emergentes en los ecosistemas marinos,ok,9,9,2,2,0
85,La Universidad de Oviedo lanza una campaña divulgativa en vídeo sobre el eclipse total de Sol con investigadores del ICTEA,ok,4,4,2,0,2
86,La Universidad de Oviedo y Gonvarri Metal Structures R&D crean una cátedra conjunta para impulsar la innovación y la transformación industrial en Asturias,ok,2,4,2,1,1
87,"La Universidad de Oviedo inviste como doctora ‘Honoris Causa’ a la científica francesa Emmanuelle Charpentier, Premio Nobel de Química en 2020",ok,7,2,5,5,0
88,La Universidad de León acoge la cumbre nacional de decanos y decanas de facultades de Derecho para abordar la IA y el futuro de la docencia jurídica,ok,9,9,0,0,0
89,Estudiantes de ocho centros escolares participan en la primera Olimpiada de Promoción de la Salud de Asturias,ok,6,6,1,1,0
90,El grupo 9 de Universidades aborda el impacto de la inteligencia artificial en la investigación en un contexto de cambio acelerado,ok,2,2,0,0,0
91,Ayrton Suárez Arana recibe el Premio a la Excelencia Académica del Máster en Recursos Geológicos e Ingeniería Geológica,sin_candidatos,0,0,0,0,0
92,"El bono social eléctrico reduce la pobreza energética, pero no llega a los hogares más vulnerables",ok,5,2,2,0,2
93,"Ignacio Villaverde, rector de la Universidad de Oviedo, entra en la Junta Rectora de CRUE como presidente de la sectorial de Secretarías Generales",ok,21,1,0,0,0
94,"Una investigación de la Universidad de Oviedo revela que las semillas no germinan cuando pueden, sino cuando les conviene",ok,3,2,3,0,3
95,La estrategia integral de descarbonización del proyecto ORIGEN gana el premio “Phoenix Contact Net Zero”,ok,5,2,0,0,0
96,La Universidad de Oviedo logra 15 medallas en los Campeonatos de España Universitarios de 2026,ok,19,17,0,0,0
97,La Universidad de Oviedo convoca la beca del Instituto Cervantes de la lengua y las culturas hispánicas de los Estados Unidos en Harvard,sin_candidatos,0,0,0,0,0
98,La Universidad de Oviedo lanza la primera formación oficial de la alianza INGENIUM,ok,3,1,1,0,1
99,"La Universidad de Oviedo y el Colegio Oficial de Trabajo Social de Asturias renuevan su alianza en formación, investigación y promoción profesional",ok,10,4,0,0,0
100,La Universidad de Oviedo reúne diez miradas científicas sobre el eclipse solar en una exposición divulgativa abierta a toda Asturias,ok,24,23,5,0,5
101,"Nace Quantum Asturias, la alianza que consolida el posicionamiento de Asturias como referente en el ecosistema de tecnologías cuánticas",ok,1,1,2,2,0
102,Elías García Fuentes presenta su visión del territorio en la Sala de Exposiciones de la Universidad de Oviedo para rememorar la huella de su padre,ok,1,1,0,0,0
103,"Caja Rural de Asturias refuerza su compromiso con la Universidad de Oviedo con una alianza de 2,5 millones de euros",ok,5,5,0,0,0
104,Un egresado de la Universidad de Oviedo participa en un coloquio con los mejores talentos universitarios en la Junta General de Accionistas de Universia,ok,2,1,0,0,0
105,El Consejo de Estudiantes de la Universidad de Oviedo inicia un nuevo mandato con Pelayo Alonso Buelga como presidente,sin_candidatos,0,0,0,0,0
106,Cerca de 1.200 estudiantes participan en las Jornadas de Puertas Abiertas de la Universidad de Oviedo,ok,2,1,0,0,0
107,La Universidad de Oviedo asiste a la entrega de los restos exhumados e identificados de la fosa común de La Caridad,ok,4,2,1,0,1
108,La Universidad de Oviedo recibe la distinción de la Red Nacional de Unidades de Cultura Científica y de la Innovación por el proyecto divulgativo ‘Los ‘por qué’ de los niños’,ok,4,3,3,0,3
109,INGENIUM se suma a la petición del sector universitario para que el Parlamento Europeo mantenga la financiación de la educación superior en el Fondo Europeo de Competitividad,sin_candidatos,0,0,0,0,0
110,INGENIUM presenta su convocatoria conjunta de Blended Intensive Programmes para el curso 2026/2027,sin_candidatos,0,0,0,0,0
111,La Universidad de Oviedo se suma a la declaración de las universidades españolas a favor del comercio justo y el consumo responsable,sin_candidatos,0,0,0,0,0
112,Un estudio sobre ejercicio físico y cáncer en adolescentes recibe los Premios Nacionales de Investigación en Medicina del Deporte Fundación Cajastur,ok,11,1,0,0,0
113,Una egresada de la Universidad de Oviedo accede a la lista de los 111 jóvenes talentos de España,ok,1,1,2,1,1
114,La spin-off de la Universidad de Oviedo Plexigrid inaugura el Centro de Control del Futuro que emplea la inteligencia artificial para la gestión del sistema eléctrico,ok,11,5,2,0,2
115,INGENIUM reabre la convocatoria para que el profesorado proponga colaboraciones docentes con otras universidades y comparta sus asignaturas con el alumnado de toda la alianza,sin_candidatos,0,0,0,0,0
116,La Universidad de Oviedo renueva la Marca Asturiana de Excelencia en Igualdad,ok,4,4,0,0,0
117,La Universidad de Oviedo identifica 99 tipos de hábitats en la región ibero-atlántica,ok,1,1,2,1,1
118,La Universidad de Oviedo y el Principado crean la Cátedra de Políticas Públicas para impulsar su análisis y evaluación en Asturias,ok,7,7,2,0,2
119,Europa exporta los coches usados más contaminantes hacia países con regulaciones ambientales más laxas,ok,1,1,2,0,2
120,El Campus de Mieres acoge el II Encuentro de la Red DESP-OB para avanzar en el análisis del despoblamiento en España,ok,3,3,2,1,1
121,La Universidad de Oviedo aprueba la convocatoria de 129 plazas de profesorado para cubrir las necesidades docentes del próximo curso,ok,6,4,3,0,3
122,PlaBiTe gana los Premios EmprendeXXI en Asturias como la start-up con mayor potencial,ok,1,1,0,0,0
123,Profesores y estudiantes de la Universidad de Oviedo participan en Lituania en el tercer curso piloto del proyecto europeo TEDI,ok,2,1,2,0,2
124,Investigadores de la Universidad de Oviedo apuntan al valor de la prevención escolar para mejorar la salud mental adolescente,ok,30,5,3,1,2
125,La Universidad de Oviedo acoge las jornadas de trabajo del proyecto europeo Genera-Copa,sin_candidatos,0,0,0,0,0
126,La Universidad de Oviedo luce la primera escultura de Pablo Serrano en la capital asturiana,ok,2,1,0,0,0
127,Un estudio de la Universidad de Oviedo refleja que al menos un tercio de la población española no sigue pautas alimentarias saludables,ok,5,5,3,0,3
128,La Universidad de Oviedo ensaya el gran eclipse total de agosto con una observación abierta a la sociedad este 29 de abril,ok,5,6,3,0,3
129,Villaverde defiende un cambio de modelo en la movilidad académica hacia alianzas más estructuradas y equitativas,ok,6,1,3,0,3
130,La Universidad de Oviedo lucirá en su edificio de la calle Independencia la primera escultura de Pablo Serrano en la capital asturiana,ok,2,1,0,0,0
131,"Las universidades del G-9 analizan en Palma cambios en la docencia, la evaluación y la ordenación académica",ok,2,1,1,1,0
132,"La Universidad de Oviedo lleva la cultura, la ciencia y el conocimiento a los concejos asturianos con su programa Cultura Cercana",ok,3,2,0,0,0
133,Las láminas didácticas de la Cátedra de Cambio Climático se alzan con un premio internacional de ilustración,ok,10,9,8,0,8
134,La Defensoría Universitaria de la Universidad de Oviedo superó las 300 actuaciones durante el año pasado,ok,2,2,1,0,1
135,La Universidad de Oviedo acerca el patrimonio cultural a la sociedad con visitas guiadas gratuitas en el Día Internacional de los Monumentos y los Sitios,ok,1,1,0,0,0
136,"Alcón destaca el papel de las alianzas y la internacionalización en el futuro de la universidad en la presentación de ""Universidad 2026""",ok,1,1,0,0,0
137,La Universidad de Oviedo impulsa su proyección cultural con una edición extendida del Festival musicUO,ok,9,9,3,0,3
138,La alianza INGENIUM supera su primera evaluación internacional que destaca su potencial transformador y solidez cultural,ok,1,1,3,1,2
139,La Sala de Exposiciones de la Universidad de Oviedo invita a la reflexión a través del arte contemporáneo brasileño,ok,3,3,1,0,1
140,Una investigación de la Universidad de Oviedo revela que las empresas europeas aún ocultan gran parte de su impacto ambiental,ok,2,2,2,0,2
141,La alianza INGENIUM se somete en Oviedo a su primera evaluación internacional,ok,3,1,0,0,0
142,Ingenieros españoles y británicos prueban con éxito un sistema híbrido de energía solar y fuentes nucleares para alimentar misiones espaciales,ok,11,1,3,1,2
143,El Museo de la Ciencia de Valladolid instala en su exposición permanente la primera tabla periódica del mundo en lengua de signos,ok,1,1,2,0,2
144,La alianza europea INGENIUM pondrá en marcha el próximo curso académico su primer máster oficial,ok,8,5,2,1,1
145,La Universidad alerta de una campaña masiva de correos fraudulentos que reclama supuestos pagos pendientes de matrícula.,sin_candidatos,0,0,0,0,0
146,CRUE celebra su primera Asamblea General del año en Baleares con el reto de redefinir la financiación de las universidades públicas,ok,2,2,0,0,0
147,Nueve de cada diez adolescentes asturianos consumen bebidas azucaradas de forma habitual u ocasional,ok,4,4,3,0,3
148,Las universidades españolas debaten en Granada sobre títulos propios y microcredenciales,sin_candidatos,0,0,0,0,0
149,Un estudio internacional revela que las aves de montaña son únicas y especialmente vulnerables al cambio climático,ok,1,1,0,0,0
150,INGENIUM presenta una nueva convocatoria para financiar la creación de grupos conjuntos de investigación,sin_candidatos,0,0,0,0,0
151,La Universidad de Oviedo avanza en su nuevo modelo de docencia para afrontar los desafíos formativos del siglo XXI,ok,2,2,3,2,1
152,Las universidades del G-9 abordan en Bilbao la implantación de la IA y la eficiencia de la administración electrónica,sin_candidatos,0,0,0,0,0
153,La mayoría de los universitarios fallan al distinguir noticias científicas verdaderas y falsas publicadas en redes sociales,ok,3,3,3,1,2
154,Las insignias de oro y plata de la Universidad de Oviedo reconocen el compromiso del personal que alcanza la jubilación tras varias décadas de trabajo,ok,2,2,0,0,0
155,"El rector inaugura la exposición “Lángara, el señor de los goles”",ok,11,2,0,0,0
156,Investigadores de la Universidad de Oviedo revelan la falta de programas para abordar el tabaquismo en personas con discapacidad intelectual,ok,13,2,4,1,3
157,"La estudiante asturiana Raquel Hidalgo Suárez, del IES Aramo (Oviedo), logra la medalla de bronce en la Olimpiada Española de Biología",ok,3,3,0,0,0
158,Los profesores de la Universidad de Oviedo Celestino Rodríguez y Marisol Cueli logran el premio Samuel Kirk al mejor artículo internacional sobre dificultades de aprendizaje,ok,1,1,2,1,1
159,La Universidad de Oviedo registra un récord de ofertas laborales en el Foro de Empleo con 175 puestos para 44 empresas,ok,5,5,0,0,0
160,Las universidades del G-9 apuestan por dar más voz al estudiantado e integrar sus propuestas en las actividades del Grupo,sin_candidatos,0,0,0,0,0
161,"El investigador Jorge González-Rodríguez, del Departamento de Química Orgánica e Inorgánica de la Universidad de Oviedo, se alza con el Premio AsturChem2025",ok,45,5,2,0,2
162,El grupo de Universidades G-9 logra financiación europea para impulsar actividades como la Noche Europea de los Investigadores,sin_candidatos,0,0,0,0,0
163,La Universidad de Oviedo pone en valor el legado de Aurora de Albornoz en el centenario de su nacimiento,ok,35,8,3,1,2
164,Un estudio sobre ejercicio físico y cáncer en adolescentes gana los Premios Nacionales de Investigación en Medicina del Deporte Fundación Cajastur,ok,7,4,1,0,1
165,La Universidad de Oviedo participa en el premio Goncourt–La elección de España 2025,sin_candidatos,0,0,0,0,0
166,"El equipo 4Space UniOvi gana el primer premio en los Student Talent Awards de Rumanía con ‘Trastu’, un robot diseñado para desplazarse por Marte",sin_candidatos,0,0,0,0,0
167,El laboratorio MediaLab de la Universidad de Oviedo obtiene el premio Ingeniería para las Personas por el diseño y fabricación de prótesis impresas en 3D,ok,24,1,2,1,1
168,El equipo de la Universidad de Extremadura gana la XVI Liga de Debate Interuniversitario del Grupo 9 de Universidades,ok,5,1,0,0,0
169,El seguimiento por GPS de la fauna silvestre revela carencias clave en la evaluación ambiental de los parques eólicos,ok,1,1,1,0,1
170,La Universidad de Oviedo potencia el Foro de Empleo con más empresas y nuevos espacios para quienes buscan trabajo,ok,4,4,0,0,0
171,España y Perú refuerzan la cooperación universitaria en un encuentro bilateral de rectores y rectoras en Lima,ok,36,1,0,0,0
172,La Universidad de Oviedo celebra 25 años impulsando la transferencia de conocimiento y la divulgación científica,ok,2,2,3,1,2
173,La Universidad de Oviedo visibiliza 20 investigaciones con perspectiva de género en su acto institucional por el 8M,ok,21,21,0,0,0
174,La Universidad de Oviedo visibiliza 20 investigaciones con perspectiva de género en su acto institucional por el 8M,ok,4,4,1,1,0
175,Noelia López Souto gana el Premio de Investigación Instituto Feijoo de Estudios del Siglo XVIII 2026,ok,6,4,1,0,1
176,Un estudio de la Universidad de Oviedo identifica un biomarcador clave para entender el entrenamiento en medallistas olímpicos,ok,24,4,10,2,8
177,"La Universidad de Iaşi (Rumanía) invita a 10 estudiantes de INGENIUM a unirse al ‘BEST International Symposium 2026’ sobre movilidad e inclusión, que se desarrollará en julio",sin_candidatos,0,0,0,0,0
178,Alcón aboga por la cooperación institucional y la inversión sostenida para fortalecer la docencia universitaria en las V Jornadas de Crue-Docencia en la UJI,ok,2,2,0,0,0
179,La Cátedra de Evaluación de las Políticas de Empleo presenta un modelo estadístico para mejorar la empleabilidad en Asturias,ok,7,4,3,0,3
180,El equipo Divergencia representará a la Universidad de Oviedo en la XVI Liga de Debate Interuniversitario del G-9,ok,6,6,0,0,0
181,"Coral Garrido, del IES Padre Feijóo, gana la Olimpiada Asturiana de Geología",ok,13,12,1,0,1
182,"El G-9 registra 9.673 inscripciones en el XIII Plan PTGAS 2026, que comienza este lunes 2 de marzo",ok,1,1,0,0,0
183,La Universidad de Oviedo aprueba su Plan de Transformación Institucional para consolidar el Campus Europeo INGENIUM,ok,2,2,0,0,0
184,Comunicado de la Universidad de Oviedo sobre las informaciones aparecidas en relación al traslado de la Facultad de Ciencias al futuro Campus de El Cristo,ok,1,1,0,0,0
185,Alcón sitúa el diálogo y la equidad en el centro del VII Congreso CREUP-CRUE,sin_candidatos,0,0,0,0,0
186,La Universidad de Oviedo incorpora a su herbario más de 1.600 pliegos micológicos donados por el naturalista Alberto Román,ok,6,6,0,0,0
187,"El rector de la Universidad de Oviedo, Ignacio Villaverde, recibirá el doctorado Honoris Causa por la Universidad de Rouen Normandía",ok,1,1,2,2,0
188,La Universidad de Oviedo analiza cómo la protección marina afecta a la pesca artesanal en el Cantábrico,ok,6,5,5,1,4
189,España e India refuerzan la cooperación universitaria con una cumbre bilateral en Nueva Delhi,ok,12,1,0,0,0
190,Biología entrega los premios de la XIX edición de su olimpiada asturiana,ok,3,3,0,0,0
191,La Cátedra de Innovación de la Universidad de Oviedo y el Principado identificará sectores estratégicos para el futuro económico y tecnológico de Asturias,ok,3,3,3,1,2
192,El ceisIA abandona Lugones ante el bloqueo del Ayuntamiento de Siero,ok,4,3,1,0,1
193,INGENIUM impulsa una segunda edición de las Student Partnerships: el programa que financia las ideas innovadoras del estudiantado,sin_candidatos,0,0,0,0,0
194,La Universidad de Oviedo caracteriza las lesiones inguinales deportivas con el mayor estudio realizado hasta la fecha,ok,2,2,2,0,2
195,"La Universidad de Oviedo recibe a Pete Worden, una de las figuras más influyentes del ámbito espacial internacional",ok,2,1,0,0,0
196,"El equipo 4Space UniOvi, nominado al Young Talent Award 2026 de la EduNet World Association",sin_candidatos,0,0,0,0,0
197,La Universidad de Oviedo arranca unas jornadas de orientación en las que participan 126 centros educativos asturianos,ok,4,4,0,0,0
198,Materiales ultraestables del CINN listos para analizar la atmósfera de Marte,ok,8,3,4,0,4
199,Más de 60 investigadoras de la Universidad de Oviedo participarán en la conmemoración del Día Internacional de la Mujer y la Niña en la Ciencia,ok,2,1,2,0,2
200,La Universidad de Oviedo actualiza su Plan de Prevención del Fraude y la Corrupción para adaptarlo a la legislación vigente,sin_candidatos,0,0,0,0,0
201,El G-9 valora la confirmación del Ministerio sobre la estabilidad económica de las plazas del programa María Goyri,ok,3,3,0,0,0
202,"CRUE presenta a CEPYME el proyecto ""Transferencia e Impacto Social"" para acercar soluciones universitarias a las necesidades de las pymes",sin_candidatos,0,0,0,0,0
203,Más de 10.000 estudiantes preuniversitarios conocerán la oferta académica de la Universidad de Oviedo en unas jornadas de orientación de récord,ok,2,1,0,0,0
204,Dos monografías del Servicio de Publicaciones de la Universidad de Oviedo obtienen el sello de calidad en edición académica CEA-APQ 2025,ok,14,2,1,0,1
205,Comunicado sobre las informaciones aparecidas en relación con la Facultad de Ciencias y la futura Ciudad de la Justicia,sin_candidatos,0,0,0,0,0
206,La Universidad de Oviedo impulsa la formación internacional en ingeniería con el segundo curso piloto del proyecto europeo TEDI,sin_candidatos,0,0,0,0,0
207,Un estudio de la Universidad de Oviedo identifica una amplia diversidad de hongos asociados a las raíces del roble albar cantábrico,ok,6,2,3,0,3
208,Última oportunidad para vivir los 10 Days de INGENIUM: abierta la convocatoria para la séptima edición en Bulgaria e Irlanda,sin_candidatos,0,0,0,0,0
209,Los IX Premios EDUCA ABANCA a los mejores docentes de 2025 distinguen al profesor de la Universidad de Oviedo Andrés Meana Fernández,ok,1,1,0,0,0
210,"La Universidad de Oviedo aprueba una oferta de 1.774 plazas de Máster Universitario para el curso 2026-2027, con dos nuevas titulaciones",ok,3,3,3,1,2
211,Investigadores de la Universidad de Oviedo copan las convocatorias científicas del Principado,ok,34,9,8,0,8
212,Las Secretarías Generales del G-9 analizan sus estructuras y comparten experiencias organizativas y de desarrollo normativo,ok,1,1,0,0,0
213,La Facultad de Psicología de la Universidad de Oviedo ofrece tratamientos novedosos para dejar de fumar tabaco y cannabis,ok,11,10,5,0,5
