news_id,titulo,investigador_id,verbo_superficie,relacion,topico_o_concepto,evidencia,confianza_llm,nombre_investigador
21,La Universidad de Oviedo reúne a especialistas nacionales e internacionales para analizar el futuro de las carreteras históricas como patrimonio y recurso turístico,https://portalinvestigacion.uniovi.es/investigadores/218311/detalle,investigar,INVESTIGA_SOBRE,infraestructuras degradadas,"Pedro Plasencia, profesor de Ingeniería del Transporte y Planificación de la Universidad de Oviedo, ha explicado que el encuentro pretende abordar 'el reto que tenemos como sociedad de qué hacer con las infraestructuras degradadas'.",0.85,PEDRO PLASENCIA LOZANO
29,El rector de la Universidad de Castilla-La Mancha asume la presidencia semestral del Grupo 9 de Universidades,https://portalinvestigacion.uniovi.es/investigadores/217370/detalle,desarrollar,DESARROLLA,automatización de procesos,"...con nuevos proyectos relacionados con la automatización de procesos, la gestión académica y el desarrollo de soluciones basadas en inteligencia artificial...",0.9,CARLOS GONZALEZ GUTIERREZ
30,"El investigador de la Universidad de Oviedo Saúl Sal Sarria, segundo premio Luis Felipe Torrente de Divulgación sobre Medicina y Salud",https://portalinvestigacion.uniovi.es/investigadores/1010415/detalle,investigar,INVESTIGA_SOBRE,neurociencia de la toma de decisiones,"el artículo De Los Álamos a Silicon Valley: el punto ciego del cerebro humano, publicado en The Conversation, en el que Sal Sarria explora, desde la neurociencia de la toma de decisiones...",0.9,SAUL SAL SARRIA
32,"Asturias consolida un modelo productivo más diversificado, innovador y competitivo, con al menos 15 sectores estratégicos en crecimiento",https://portalinvestigacion.uniovi.es/investigadores/219668/detalle,investigar,INVESTIGA_SOBRE,industria de defensa,La Cátedra Sekuens profundizará en próximos informes en dos ámbitos considerados estratégicos para el futuro económico de Asturias: la industria de defensa y el impacto de la inteligencia artificial y la digitalización sobre los servicios avanzados y el conjunto del sistema productivo.,0.9,FERNANDO RUBIERA MOROLLON
32,"Asturias consolida un modelo productivo más diversificado, innovador y competitivo, con al menos 15 sectores estratégicos en crecimiento",https://portalinvestigacion.uniovi.es/investigadores/217233/detalle,investigar,INVESTIGA_SOBRE,industria de defensa,La Cátedra Sekuens profundizará en próximos informes en dos ámbitos considerados estratégicos para el futuro económico de Asturias: la industria de defensa y el impacto de la inteligencia artificial y la digitalización sobre los servicios avanzados y el conjunto del sistema productivo.,0.9,ANDRE CARRASCAL INCERA
34,La Universidad de Oviedo transforma las jornadas de innovación docente en un congreso científico internacional y duplica  la participación,https://portalinvestigacion.uniovi.es/investigadores/217932/detalle,desarrollar,DESARROLLA,uso responsable y reflexivo de la inteligencia artificial en el aprendizaje universitario,"...un programa sobre el uso responsable y reflexivo de la inteligencia artificial en el aprendizaje universitario, con especial atención al impacto de la IA en la autoestima del estudiantado y con perspectiva de género y que gestionan Laura Calzada Infante e Irene Mariñas del Collado.",0.9,IRENE MARIÑAS DEL COLLADO
46,La Universidad de Oviedo logra tres premios y tres accésits en las XIII Jornadas Doctorales del G-9,https://portalinvestigacion.uniovi.es/investigadores/217688/detalle,investigar,INVESTIGA_SOBRE,trabajo de investigación,Enol Junquera Álvarez obtuvo un accésit por su trabajo de investigación.,0.95,JOSE CARLOS MARTINEZ GARCIA
46,La Universidad de Oviedo logra tres premios y tres accésits en las XIII Jornadas Doctorales del G-9,https://portalinvestigacion.uniovi.es/investigadores/2373266/detalle,investigar,INVESTIGA_SOBRE,trabajo de investigación,Swan Pacheco Díaz recibió un premio en las jornadas por su trabajo de investigación.,0.95,SWAN SADITH PACHECO DIAZ
46,La Universidad de Oviedo logra tres premios y tres accésits en las XIII Jornadas Doctorales del G-9,https://portalinvestigacion.uniovi.es/investigadores/219650/detalle,investigar,INVESTIGA_SOBRE,trabajo de investigación,Gerard Villarroya recibió un accésit por su trabajo de investigación.,0.95,GERARD VILLARROYA PIQUE
48,Astrónomos de Light Bridges y la Universidad de Oviedo detectan que los asteroides metálicos giran más rápido que los demás,https://portalinvestigacion.uniovi.es/investigadores/2355302/detalle,desarrollar,DESARROLLA,proyecto R2,"Esta línea de trabajo tendrá continuidad en el ICTEA a través del proyecto R2: del Riesgo al Recurso, impulsado desde la Universidad de Oviedo...",0.9,NOEMI PINILLA ALONSO
49,Las mejores tesis en salud de la Universidad de Oviedo reciben los Premios RAMPRA 2026,https://portalinvestigacion.uniovi.es/investigadores/1931689/detalle,investigar,INVESTIGA_SOBRE,hemofilia,"El trabajo demuestra que la hemofilia no puede explicarse únicamente por el déficit de coagulación e identifica alteraciones inflamatorias, inmunológicas y plaquetarias.",0.9,ANGEL BERNARDO GUTIERREZ
49,Las mejores tesis en salud de la Universidad de Oviedo reciben los Premios RAMPRA 2026,https://portalinvestigacion.uniovi.es/investigadores/2456580/detalle,investigar,INVESTIGA_SOBRE,esquizofrenia,El premio ha recaído en el doctor Francesco Dal Santo por la tesis Análisis de redes de las dimensiones psicopatológicas de la esquizofrenia.,0.9,FRANCESCO DAL SANTO
51,"INGENIUM avanza en Ruan hacia una nueva etapa de cooperación universitaria europea más estable, sostenible y estructurada",https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,participar,COLABORA_EN,alianza INGENIUM,"La Universidad de Oviedo, coordinadora de INGENIUM, ha participado en esta agenda",0.9,IGNACIO VILLAVERDE MENENDEZ
51,"INGENIUM avanza en Ruan hacia una nueva etapa de cooperación universitaria europea más estable, sostenible y estructurada",https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,reforzar,COLABORA_EN,colaboración académica,"orientadas a reforzar la colaboración académica, científica e institucional entre ambas instituciones",0.9,IGNACIO VILLAVERDE MENENDEZ
53,"Villaverde defiende a las universidades públicas como garantes de la libertad, la democracia y la igualdad en su investidura como doctor honoris causa por la Universidad de Rouen Normandía",https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,investigar,INVESTIGA_SOBRE,Derecho Constitucional,su trayectoria académica de Ignacio Villaverde como catedrático de Derecho Constitucional,0.85,IGNACIO VILLAVERDE MENENDEZ
58,La Universidad de Oviedo identifica qué plantas alpinas tendrán más dificultades para regenerarse por el cambio climático,https://portalinvestigacion.uniovi.es/investigadores/219672/detalle,liderar,LIDERA,proyecto SEEDALP,"El trabajo se enmarca en el proyecto SEEDALP, liderado por el profesor de Botánica Borja Jiménez-Alfaro.",0.9,Borja Jiménez-Alfaro
62,La Universidad de Oviedo otorga el doctorado ‘Honoris Causa’ a Víctor Manuel para reconocer su trayectoria y su canto a la memoria de Asturias,https://portalinvestigacion.uniovi.es/investigadores/218042/detalle,desarrollar,DESARROLLA,patrimonio inmaterial,se reconoce su aportación al patrimonio inmaterial,0.9,JULIO RAUL OGAS JOFRE
62,La Universidad de Oviedo otorga el doctorado ‘Honoris Causa’ a Víctor Manuel para reconocer su trayectoria y su canto a la memoria de Asturias,https://portalinvestigacion.uniovi.es/investigadores/218042/detalle,investigar,INVESTIGA_SOBRE,música popular urbana,se enmarca en la tradición de la Universidad de Oviedo como institución pionera en los estudios musicológicos y en la investigación sobre música popular urbana,0.85,JULIO RAUL OGAS JOFRE
65,Mares Circulares entrega a la Universidad de Oviedo un banco fabricado con plástico recogido del mar en reconocimiento a su compromiso medioambiental,https://portalinvestigacion.uniovi.es/investigadores/218110/detalle,participar,COLABORA_EN,Mares Circulares,"La Universidad ha participado en Mares Circulares acogiendo las 1ª jornadas científico-técnicas centradas en la divulgación, la investigación y la concienciación ambiental...",0.9,INES PEÑUELAS SANCHEZ
65,Mares Circulares entrega a la Universidad de Oviedo un banco fabricado con plástico recogido del mar en reconocimiento a su compromiso medioambiental,https://portalinvestigacion.uniovi.es/investigadores/218110/detalle,investigar,INVESTIGA_SOBRE,sostenibilidad,"la sostenibilidad constituye un eje estratégico para nuestra institución y forma parte de nuestro compromiso con la formación, la investigación, la transferencia de conocimiento...",0.85,INES PEÑUELAS SANCHEZ
71,El Consejo de Gobierno da luz verde al Plan de Ordenación Docente para el próximo curso académico,https://portalinvestigacion.uniovi.es/investigadores/216944/detalle,liderar,LIDERA,alianza INGENIUM,"INGENIUM reúne a diez instituciones de educación superior de diez Estados miembros que, lideradas por la Universidad de Oviedo, prestan servicio de una comunidad de 172.000 estudiantes.",0.9,ANA ISABEL ALVAREZ GONZALEZ
71,El Consejo de Gobierno da luz verde al Plan de Ordenación Docente para el próximo curso académico,https://portalinvestigacion.uniovi.es/investigadores/216945/detalle,reforzar,COLABORA_EN,alianza INGENIUM,"Durante ese tiempo, fue el responsable de que la alianza enraizara en la propia universidad coordinadora.",0.85,LUIS IGNACIO ALVAREZ GONZALEZ
84,La Universidad de Oviedo lidera un proyecto nacional para evaluar el impacto de contaminantes emergentes en los ecosistemas marinos,https://portalinvestigacion.uniovi.es/investigadores/216842/detalle,liderar,LIDERA,proyecto BIOACUMAR,"""Los genetistas Yaisel J. Borrell y Laura Miralles, que lideran el proyecto BIOACUMAR...""",0.9,YAISEL JUAN BORRELL PICHS
84,La Universidad de Oviedo lidera un proyecto nacional para evaluar el impacto de contaminantes emergentes en los ecosistemas marinos,https://portalinvestigacion.uniovi.es/investigadores/219703/detalle,liderar,LIDERA,proyecto BIOACUMAR,"""Los genetistas Yaisel J. Borrell y Laura Miralles, que lideran el proyecto BIOACUMAR...""",0.9,LAURA MIRALLES LOPEZ
86,La Universidad de Oviedo y Gonvarri Metal Structures R&D crean una cátedra conjunta para impulsar la innovación y la transformación industrial en Asturias,https://portalinvestigacion.uniovi.es/investigadores/219653/detalle,formar,COLABORA_EN,actividades de formación,los primeros pasos de la colaboración se centrarán en la puesta en marcha de actividades de investigación y formación vinculadas a tecnologías aplicadas al ámbito industrial,0.9,RUBEN USAMENTIAGA FERNANDEZ
87,"La Universidad de Oviedo inviste como doctora ‘Honoris Causa’ a la científica francesa Emmanuelle Charpentier, Premio Nobel de Química en 2020",https://portalinvestigacion.uniovi.es/investigadores/217882/detalle,desarrollar,DESARROLLA,CRISPR-Cas9,"la científica ha obtenido la máxima distinción académica por el desarrollo de una herramienta de edición genética, CRISPR-Cas9",0.9,ANA YOLANDA GUTIERREZ FERNANDEZ
87,"La Universidad de Oviedo inviste como doctora ‘Honoris Causa’ a la científica francesa Emmanuelle Charpentier, Premio Nobel de Química en 2020",https://portalinvestigacion.uniovi.es/investigadores/217882/detalle,investigar,INVESTIGA_SOBRE,cáncer,"sus investigaciones permiten 'aproximarnos de otro modo al cáncer, a las enfermedades raras, a las patologías genéticas'",0.85,ANA YOLANDA GUTIERREZ FERNANDEZ
87,"La Universidad de Oviedo inviste como doctora ‘Honoris Causa’ a la científica francesa Emmanuelle Charpentier, Premio Nobel de Química en 2020",https://portalinvestigacion.uniovi.es/investigadores/217882/detalle,investigar,INVESTIGA_SOBRE,biotecnología,sus investigaciones permiten 'aproximarnos de otro modo a la biotecnología',0.85,ANA YOLANDA GUTIERREZ FERNANDEZ
87,"La Universidad de Oviedo inviste como doctora ‘Honoris Causa’ a la científica francesa Emmanuelle Charpentier, Premio Nobel de Química en 2020",https://portalinvestigacion.uniovi.es/investigadores/217882/detalle,investigar,INVESTIGA_SOBRE,salud,sus investigaciones permiten 'aproximarnos de otro modo a la salud',0.85,ANA YOLANDA GUTIERREZ FERNANDEZ
87,"La Universidad de Oviedo inviste como doctora ‘Honoris Causa’ a la científica francesa Emmanuelle Charpentier, Premio Nobel de Química en 2020",https://portalinvestigacion.uniovi.es/investigadores/217882/detalle,investigar,INVESTIGA_SOBRE,vida,sus investigaciones permiten 'aproximarnos de otro modo a la vida',0.85,ANA YOLANDA GUTIERREZ FERNANDEZ
89,Estudiantes de ocho centros escolares participan en la primera Olimpiada de Promoción de la Salud de Asturias,https://portalinvestigacion.uniovi.es/investigadores/217949/detalle,impulsar,LIDERA,Olimpiada de Promoción de la Salud,"La iniciativa, impulsada por la Cátedra de Salud Comunitaria y Promoción de la Salud (ProSa) de la Universidad de Oviedo, tiene como finalizar fomentar la alfabetización en salud y el desarrollo de conductas saludables en la población escolar asturiana.",0.9,RUBEN MARTIN PAYO
101,"Nace Quantum Asturias, la alianza que consolida el posicionamiento de Asturias como referente en el ecosistema de tecnologías cuánticas",https://portalinvestigacion.uniovi.es/investigadores/219634/detalle,participar,COLABORA_EN,Quantum Asturias,"José Ranilla, responsable de Quantum and High Performance Computing de la Universidad de Oviedo, subraya el papel que tendrá en la promoción de una colaboración abierta entre la comunidad investigadora y las empresas.",0.9,JOSE RANILLA PASTOR
101,"Nace Quantum Asturias, la alianza que consolida el posicionamiento de Asturias como referente en el ecosistema de tecnologías cuánticas",https://portalinvestigacion.uniovi.es/investigadores/219634/detalle,investigar,INVESTIGA_SOBRE,tecnologías cuánticas,Quantum Asturias nace también con vocación hacia la educación y la investigación en tecnologías cuánticas.,0.85,JOSE RANILLA PASTOR
113,Una egresada de la Universidad de Oviedo accede a la lista de los 111 jóvenes talentos de España,https://portalinvestigacion.uniovi.es/investigadores/2500137/detalle,desarrollar,DESARROLLA,investigación en inteligencia artificial,su intención es continuar desarrollando su trayectoria en el ámbito de la investigación en inteligencia artificial,0.9,MARINA DADER SUAREZ
117,La Universidad de Oviedo identifica 99 tipos de hábitats en la región ibero-atlántica,https://portalinvestigacion.uniovi.es/investigadores/219672/detalle,desarrollar,DESARROLLA,nuevo enfoque para la conservación de ecosistemas,"El Laboratorio de Vegetación y Biodiversidad, coordinado por Borja Jiménez-Alfaro en la Universidad de Oviedo... ha desarrollado un nuevo enfoque para hacer frente a la conservación de los ecosistemas terrestres.",0.9,Borja Jiménez-Alfaro
120,El Campus de Mieres acoge el II Encuentro de la Red DESP-OB para avanzar en el análisis del despoblamiento en España,https://portalinvestigacion.uniovi.es/investigadores/219106/detalle,investigar,INVESTIGA_SOBRE,despoblamiento rural,"La jornada del 29 de abril continuó con la conferencia “¿Lugares que no importan? La despoblación rural en su perspectiva histórica”, impartida por Fernando Collantes, catedrático de Historia e Instituciones Económicas de la Universidad de Oviedo.",0.9,FERNANDO COLLANTES GUTIERREZ
124,Investigadores de la Universidad de Oviedo apuntan al valor de la prevención escolar para mejorar la salud mental adolescente,https://portalinvestigacion.uniovi.es/investigadores/217162/detalle,participar,COLABORA_EN,proyecto de investigación sobre la prevención de la conducta suicida,"Los profesores José Errasti y Víctor Martínez-Loredo, del Departamento de Psicología de la Universidad de Oviedo, participaron en el proyecto aportando asesoramiento científico y apoyo en el análisis estadístico de los datos.",0.85,JOSE MANUEL ERRASTI PEREZ
131,"Las universidades del G-9 analizan en Palma cambios en la docencia, la evaluación y la ordenación académica",https://portalinvestigacion.uniovi.es/investigadores/217928/detalle,investigar,INVESTIGA_SOBRE,análisis de la docencia,ha presentado los resultados del análisis de la docencia que están realizando.,0.9,JUAN MANUEL MARCHANTE GAYON
138,La alianza INGENIUM supera su primera evaluación internacional que destaca su potencial transformador y solidez cultural,https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,reforzar,COLABORA_EN,estructuras de gobernanza,Los evaluadores proponen reforzar las estructuras de gobernanza y crear indicadores para medir el desarrollo alcanzado por el consorcio.,0.9,IGNACIO VILLAVERDE MENENDEZ
142,Ingenieros españoles y británicos prueban con éxito un sistema híbrido de energía solar y fuentes nucleares para alimentar misiones espaciales,https://portalinvestigacion.uniovi.es/investigadores/217321/detalle,desarrollar,DESARROLLA,sistemas de energía híbridos RTG-solar,se ha desarrollado una base para la próxima generación de sistemas de energía híbridos RTG-solar.,0.9,PABLO FERNANDEZ MIAJA
144,La alianza europea INGENIUM pondrá en marcha el próximo curso académico su primer máster oficial,https://portalinvestigacion.uniovi.es/investigadores/1010273/detalle,impulsar,LIDERA,ecosistema de I+D+i,"“Esta iniciativa permitirá la incorporación de nuevos investigadores e investigadoras en formación, que desarrollarán sus tesis doctorales en el seno de la institución durante cuatro años, con lo que impulsamos el ecosistema de I+D+i”",0.85,IRENE DIAZ MARTINEZ
151,La Universidad de Oviedo avanza en su nuevo modelo de docencia para afrontar los desafíos formativos del siglo XXI,https://portalinvestigacion.uniovi.es/investigadores/217928/detalle,ofrecer,DESARROLLA,evaluación por competencias,"...en el que la evaluación por competencias, las metodologías activas y la coordinación docente tengan un papel central.",0.85,JUAN MANUEL MARCHANTE GAYON
151,La Universidad de Oviedo avanza en su nuevo modelo de docencia para afrontar los desafíos formativos del siglo XXI,https://portalinvestigacion.uniovi.es/investigadores/217928/detalle,desarrollar,DESARROLLA,metodologías activas,"...en el que la evaluación por competencias, las metodologías activas y la coordinación docente tengan un papel central.",0.85,JUAN MANUEL MARCHANTE GAYON
153,La mayoría de los universitarios fallan al distinguir noticias científicas verdaderas y falsas publicadas en redes sociales,https://portalinvestigacion.uniovi.es/investigadores/219556/detalle,ofrecer,DESARROLLA,estrategias en la enseñanza de las ciencias,los resultados ponen de manifiesto la importancia de incorporar en la enseñanza de las ciencias estrategias que ayuden al alumnado a analizar críticamente la información,0.9,MARIA CARMEN BELLVER MORENO
156,Investigadores de la Universidad de Oviedo revelan la falta de programas para abordar el tabaquismo en personas con discapacidad intelectual,https://portalinvestigacion.uniovi.es/investigadores/1301794/detalle,participar,COLABORA_EN,proyecto de investigación sobre el tabaquismo,...se encuentra además en marcha el estudio final del proyecto de investigación...,0.85,ELENA AMALIA UDEANU
158,Los profesores de la Universidad de Oviedo Celestino Rodríguez y Marisol Cueli logran el premio Samuel Kirk al mejor artículo internacional sobre dificultades de aprendizaje,https://portalinvestigacion.uniovi.es/investigadores/218643/detalle,desarrollar,DESARROLLA,éxito académico de estudiantes universitarios con dificultades específicas de aprendizaje,cómo podemos mejorar su éxito académico desde la evidencia científica,0.85,CELESTINO RODRIGUEZ PEREZ
163,La Universidad de Oviedo pone en valor el legado de Aurora de Albornoz en el centenario de su nacimiento,https://portalinvestigacion.uniovi.es/investigadores/219833/detalle,formar,COLABORA_EN,programa de conferencias,Begoña Camblor Pandiella y Alba González Sanz han diseñado un programa de conferencias que reúne a personas expertas en la autora o en la literatura del siglo XX.,0.9,ALBA GONZALEZ SANZ
167,El laboratorio MediaLab de la Universidad de Oviedo obtiene el premio Ingeniería para las Personas por el diseño y fabricación de prótesis impresas en 3D,https://portalinvestigacion.uniovi.es/investigadores/2355544/detalle,investigar,INVESTIGA_SOBRE,diseño participativo,El proceso se basa en un modelo de diseño participativo en el que las propias personas usuarias y sus familias colaboran con el equipo del laboratorio para definir las necesidades específicas de cada caso.,0.85,CLAUDIA GARCIA GONZALEZ
172,La Universidad de Oviedo celebra 25 años impulsando la transferencia de conocimiento y la divulgación científica,https://portalinvestigacion.uniovi.es/investigadores/1010273/detalle,ofrecer,DESARROLLA,monólogos científicos,Personal investigador de distintas áreas de conocimiento... compartirán historias y curiosidades relacionadas con sus campos de estudio a través de monólogos.,0.8,IRENE DIAZ MARTINEZ
174,La Universidad de Oviedo visibiliza 20 investigaciones con perspectiva de género en su acto institucional por el 8M,https://portalinvestigacion.uniovi.es/investigadores/217023/detalle,investigar,INVESTIGA_SOBRE,género e igualdad,cada participante explica su línea de investigación y su contribución al avance del conocimiento en materia de igualdad y género.,0.9,MANES FERNANDEZ CABANAS
176,Un estudio de la Universidad de Oviedo identifica un biomarcador clave para entender el entrenamiento en medallistas olímpicos,https://portalinvestigacion.uniovi.es/investigadores/217641/detalle,desarrollar,DESARROLLA,nuevas herramientas para la salud del deportista,"""...ayudaría a una correcta prescripción de ejercicio para la salud.""",0.7,EDUARDO IGLESIAS GUTIERREZ
176,Un estudio de la Universidad de Oviedo identifica un biomarcador clave para entender el entrenamiento en medallistas olímpicos,https://portalinvestigacion.uniovi.es/investigadores/217641/detalle,aportar,COLABORA_EN,conocimiento aplicable al seguimiento de la salud del deportista,"""...generando conocimiento aplicable directamente al seguimiento de la salud del deportista.""",0.7,EDUARDO IGLESIAS GUTIERREZ
187,"El rector de la Universidad de Oviedo, Ignacio Villaverde, recibirá el doctorado Honoris Causa por la Universidad de Rouen Normandía",https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,impulsar,LIDERA,Alianza INGENIUM,su contribución clave al impulso de la Alianza INGENIUM,0.9,IGNACIO VILLAVERDE MENENDEZ
187,"El rector de la Universidad de Oviedo, Ignacio Villaverde, recibirá el doctorado Honoris Causa por la Universidad de Rouen Normandía",https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,investigar,INVESTIGA_SOBRE,Derecho Constitucional,"reconoce la aportación científica del rector, Ignacio Villaverde, como catedrático de Derecho Constitucional",0.85,IGNACIO VILLAVERDE MENENDEZ
188,La Universidad de Oviedo analiza cómo la protección marina afecta a la pesca artesanal en el Cantábrico,https://portalinvestigacion.uniovi.es/investigadores/219310/detalle,liderar,LIDERA,proyecto ESPARDE,"La Universidad de Oviedo, a través del Instituto de Recursos Naturales y Ordenación del Territorio (INDUROT), lidera el proyecto ESPARDE...",0.9,EMMA ZAPICO FERNANDEZ
191,La Cátedra de Innovación de la Universidad de Oviedo y el Principado identificará sectores estratégicos para el futuro económico y tecnológico de Asturias,https://portalinvestigacion.uniovi.es/investigadores/219668/detalle,investigar,INVESTIGA_SOBRE,industria de defensa,Uno de los primeros sectores de estudio será la industria de defensa.,0.9,FERNANDO RUBIERA MOROLLON
210,"La Universidad de Oviedo aprueba una oferta de 1.774 plazas de Máster Universitario para el curso 2026-2027, con dos nuevas titulaciones",https://portalinvestigacion.uniovi.es/investigadores/1010273/detalle,investigar,INVESTIGA_SOBRE,Código de Buenas Prácticas en Investigación y Transferencia,"Irene Díaz ha explicado que “su objetivo principal es promover una investigación íntegra, honesta, rigurosa y responsable...""",0.9,IRENE DIAZ MARTINEZ
214,La Alianza INGENIUM acuerda en Rumanía los pasos clave para su consolidación como universidad europea,https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,desarrollar,DESARROLLA,titulaciones conjuntas,la alianza ha reafirmado que el lanzamiento de las titulaciones conjuntas constituye una de las prioridades estratégicas de INGENIUM para 2026...,0.85,IGNACIO VILLAVERDE MENENDEZ
218,El rector defiende la universidad pública como un servicio al bien común durante su intervención en la festividad de Santo Tomás de Aquino,https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,ofrecer,DESARROLLA,becas de doctorado,Villaverde ha anunciado la puesta en marcha de becas de doctorado para estudiantes latinoamericanos.,0.8,IGNACIO VILLAVERDE MENENDEZ
218,El rector defiende la universidad pública como un servicio al bien común durante su intervención en la festividad de Santo Tomás de Aquino,https://portalinvestigacion.uniovi.es/investigadores/218536/detalle,reforzar,COLABORA_EN,doctorados industriales,el refuerzo de los doctorados industriales y la mentorización en empresas.,0.75,IGNACIO VILLAVERDE MENENDEZ
220,El rector reivindica la Extensión Universitaria como seña de identidad de la Universidad de Oviedo en la toma de posesión de Marta Mateo como vicerrectora,https://portalinvestigacion.uniovi.es/investigadores/219562/detalle,investigar,INVESTIGA_SOBRE,estudios de traducción,Mateo ha centrado su investigación en el campo de los estudios de traducción en el ámbito de las lenguas inglesa y española,0.9,MARIA PILAR GARCES GARCIA
225,El rector renueva su equipo de gobierno con la incorporación de Marta Mateo como nueva vicerrectora de Extensión Universitaria y Proyección Cultural,https://portalinvestigacion.uniovi.es/investigadores/219562/detalle,investigar,INVESTIGA_SOBRE,estudios de traducción,Mateo ha centrado su investigación en el campo de los estudios de traducción en el ámbito de las lenguas inglesa y española.,0.9,MARIA PILAR GARCES GARCIA
230,El Campus de Gijón de la Universidad de Oviedo incorpora una red privada 5G pionera en Asturias,https://portalinvestigacion.uniovi.es/investigadores/217735/detalle,investigar,INVESTIGA_SOBRE,tecnologías emergentes,impulsar la investigación en tecnologías emergentes,0.9,GERMAN LEON FERNANDEZ
230,El Campus de Gijón de la Universidad de Oviedo incorpora una red privada 5G pionera en Asturias,https://portalinvestigacion.uniovi.es/investigadores/217902/detalle,investigar,INVESTIGA_SOBRE,tecnologías emergentes,impulsar la investigación en tecnologías emergentes,0.9,LUIS FERNANDO HERRAN ONTAÑON
