investigador_id,nombre_investigador,relacion,topico,evidencia,news_id,verbo_superficie,topico_normalizado,topico_canonico
https://portalinvestigacion.uniovi.es/investigadores/2355302/detalle,NOEMI PINILLA ALONSO,INVESTIGA_SOBRE,asteroides metálicos,"""La colaboración con Light Bridges para estudiar los asteroides metálicos en apoyo de la misión Psyche comenzó en el año 2022"".",48,INVESTIGA_SOBRE,asteroides metalicos,asteroides metálicos
https://portalinvestigacion.uniovi.es/investigadores/2355302/detalle,NOEMI PINILLA ALONSO,LIDERA,proyecto R2,"""Noemí Pinilla-Alonso, coautora del estudio e investigadora principal del proyecto R2.""",48,LIDERA,proyecto r2,proyecto r2
https://portalinvestigacion.uniovi.es/investigadores/2456580/detalle,FRANCESCO DAL SANTO,INVESTIGA_SOBRE,esquizofrenia,el premio ha recaído en el doctor Francesco Dal Santo por la tesis Análisis de redes de las dimensiones psicopatológicas de la esquizofrenia.,49,INVESTIGA_SOBRE,esquizofrenia,esquizofrenia
https://portalinvestigacion.uniovi.es/investigadores/218988/detalle,NOELIA BLANCO AGUDIN,INVESTIGA_SOBRE,queratitis bacteriana,"la tesis de la doctora Noelia Blanco Agudín, titulada La comunicación intercelular mediada por vesículas extracelulares en un modelo de queratitis bacteriana.",49,INVESTIGA_SOBRE,queratitis bacteriana,queratitis bacteriana
https://portalinvestigacion.uniovi.es/investigadores/217393/detalle,AURELIO ANTONIO GONZALEZ OVIES,INVESTIGA_SOBRE,poesía,"Aurelio González Ovies, profesor de Filología Latina de la Universidad de Oviedo desde 1988, es uno de los poetas asturianos más reconocidos de su generación y autor de una amplia obra literaria que abarca poesía, prosa poética y literatura infantil y juvenil.",54,INVESTIGA_SOBRE,poesia,poesía
https://portalinvestigacion.uniovi.es/investigadores/218344/detalle,MIGUEL ANGEL RODRIGUEZ DIAZ,LIDERA,rasgos psicológicos de atletas de ultrarresistencia,una revisión sistemática y metaanálisis liderada por investigadores de la Universidad de Oviedo ha analizado la evidencia científica disponible sobre los rasgos psicológicos de los atletas de ultrarresistencia.,69,LIDERA,rasgos psicologicos de atletas de ultrarresistencia,rasgos psicológicos de atletas de ultrarresistencia
https://portalinvestigacion.uniovi.es/investigadores/218048/detalle,HUGO OLMEDILLAS FERNANDEZ,INVESTIGA_SOBRE,dependencia al ejercicio,"Hugo Olmedillas, investigador responsable, explica que 'cerca del 9% presenta riesgo de dependencia al ejercicio'.",69,INVESTIGA_SOBRE,dependencia al ejercicio,dependencia al ejercicio
https://portalinvestigacion.uniovi.es/investigadores/216944/detalle,ANA ISABEL ALVAREZ GONZALEZ,LIDERA,alianza INGENIUM,"Ana Isabel Álvarez González, profesora del Departamento de Filología Inglesa de la Universidad de Oviedo, recibe el reconocimiento por los servicios prestados como directora de INGENIUM.",71,LIDERA,alianza ingenium,alianza ingenium
https://portalinvestigacion.uniovi.es/investigadores/218457/detalle,ANA SUAREZ ALVAREZ,INVESTIGA_SOBRE,Economía,Ana Suárez Álvarez es mencionada en el contexto de la Olimpiada de Economía.,72,INVESTIGA_SOBRE,economia,economía
https://portalinvestigacion.uniovi.es/investigadores/219653/detalle,RUBEN USAMENTIAGA FERNANDEZ,LIDERA,Cátedra Gonvarri Metal Structures R&D,"el director de la cátedra, Rubén Usamentiaga Fernández, ha señalado que 'los primeros pasos de la colaboración se centrarán en la puesta en marcha de actividades de investigación y formación'.",86,LIDERA,catedra gonvarri metal structures rd,cátedra gonvarri metal structures r&d
https://portalinvestigacion.uniovi.es/investigadores/219653/detalle,RUBEN USAMENTIAGA FERNANDEZ,DESARROLLA,tecnologías aplicadas al ámbito industrial,se centrarán en la puesta en marcha de actividades de investigación y formación vinculadas a tecnologías aplicadas al ámbito industrial.,86,DESARROLLA,tecnologias aplicadas al ambito industrial,tecnologías aplicadas al ámbito industrial
https://portalinvestigacion.uniovi.es/investigadores/219653/detalle,RUBEN USAMENTIAGA FERNANDEZ,COLABORA_EN,entorno experimental en la Escuela Politécnica de Ingeniería de Gijón,desarrollo de un entorno experimental en la Escuela Politécnica de Ingeniería de Gijón para el estudio y análisis de herramientas basadas en visión artificial.,86,COLABORA_EN,entorno experimental en la escuela politecnica de ingenieria de gijon,entorno experimental en la escuela politécnica de ingeniería de gijón
https://portalinvestigacion.uniovi.es/investigadores/2370717/detalle,EDUARDO FERNANDEZ ALONSO,INVESTIGA_SOBRE,germinación de semillas,El estudio revela que las plantas ajustan el momento de germinación de sus semillas en función del entorno.,94,INVESTIGA_SOBRE,germinacion de semillas,germinación de semillas
https://portalinvestigacion.uniovi.es/investigadores/2370717/detalle,EDUARDO FERNANDEZ ALONSO,COLABORA_EN,SeedArc,Este estudio es uno de los primeros análisis realizados con la base de datos global SeedArc.,94,COLABORA_EN,seedarc,seedarc
https://portalinvestigacion.uniovi.es/investigadores/2370717/detalle,EDUARDO FERNANDEZ ALONSO,LIDERA,investigación sobre regeneración vegetal,Fernández Pascual ha participado en una carta abierta en la que se alerta de que los procesos de regeneración de las plantas están siendo sistemáticamente ignorados.,94,LIDERA,investigacion sobre regeneracion vegetal,investigación sobre regeneración vegetal
https://portalinvestigacion.uniovi.es/investigadores/219634/detalle,JOSE RANILLA PASTOR,DESARROLLA,tecnologías cuánticas,"facilita el desarrollo de proyectos conjuntos, la generación de nuevo conocimiento y la captación de financiación para el desarrollo y aplicación de las tecnologías cuánticas.",101,DESARROLLA,tecnologias cuanticas,tecnologías cuánticas
https://portalinvestigacion.uniovi.es/investigadores/219634/detalle,JOSE RANILLA PASTOR,INVESTIGA_SOBRE,tecnologías cuánticas,Quantum Asturias nace también con vocación hacia la educación y la investigación en tecnologías cuánticas.,101,INVESTIGA_SOBRE,tecnologias cuanticas,tecnologías cuánticas
https://portalinvestigacion.uniovi.es/investigadores/2500137/detalle,MARINA DADER SUAREZ,INVESTIGA_SOBRE,inteligencia artificial,su intención es continuar desarrollando su trayectoria en el ámbito de la investigación en inteligencia artificial,113,INVESTIGA_SOBRE,inteligencia artificial,inteligencia artificial
https://portalinvestigacion.uniovi.es/investigadores/219672/detalle,Borja Jiménez-Alfaro,INVESTIGA_SOBRE,conservación de ecosistemas,Jiménez-Alfaro explica que el enfoque se basa en el concepto de regionalización utilizado anteriormente en las iniciativas de conservación de Australia.,117,INVESTIGA_SOBRE,conservacion de ecosistemas,conservación de ecosistemas
https://portalinvestigacion.uniovi.es/investigadores/219672/detalle,Borja Jiménez-Alfaro,DESARROLLA,nuevo enfoque para conservación de ecosistemas,"El Laboratorio de Vegetación y Biodiversidad, coordinado por Borja Jiménez-Alfaro... ha desarrollado un nuevo enfoque para hacer frente a la conservación de los ecosistemas terrestres.",117,DESARROLLA,nuevo enfoque para conservacion de ecosistemas,nuevo enfoque para conservación de ecosistemas
https://portalinvestigacion.uniovi.es/investigadores/219672/detalle,Borja Jiménez-Alfaro,LIDERA,estudio sobre hábitats ibero-atlánticos,El estudio liderado por investigadores del Laboratorio de Vegetación y Biodiversidad ha sido publicado en la revista ‘Applied Vegetation Science’.,117,LIDERA,estudio sobre habitats iberoatlanticos,estudio sobre hábitats ibero-atlánticos
https://portalinvestigacion.uniovi.es/investigadores/218285/detalle,VICTOR MANUEL MEANA DIAZ,COLABORA_EN,Calidad en la Fabricación Aditiva,"Este curso versará sobre la Calidad en la Fabricación Aditiva, área de especialización y reconocido prestigio del grupo de investigación al que pertenecen los profesores de UniOvi participantes el proyecto TEDI.",123,COLABORA_EN,calidad en la fabricacion aditiva,calidad en la fabricación aditiva
https://portalinvestigacion.uniovi.es/investigadores/216776/detalle,BRAULIO JOSE ALVAREZ ALVAREZ,COLABORA_EN,Calidad en la Fabricación Aditiva,"Este curso versará sobre la Calidad en la Fabricación Aditiva, área de especialización y reconocido prestigio del grupo de investigación al que pertenecen los profesores de UniOvi participantes el proyecto TEDI.",123,COLABORA_EN,calidad en la fabricacion aditiva,calidad en la fabricación aditiva
https://portalinvestigacion.uniovi.es/investigadores/216748/detalle,SUSANA AL-HALABI DIAZ,LIDERA,prevención de la conducta suicida,Susana Al-Halabí culmina su Beca Leonardo con un proyecto de investigación sobre la prevención de la conducta suicida en las aulas asturianas.,124,LIDERA,prevencion de la conducta suicida,prevención de la conducta suicida
https://portalinvestigacion.uniovi.es/investigadores/220163/detalle,VICTOR MARTINEZ LOREDO,COLABORA_EN,análisis estadístico,"Los profesores José Errasti y Víctor Martínez-Loredo, del Departamento de Psicología de la Universidad de Oviedo, participaron en el proyecto aportando asesoramiento científico y apoyo en el análisis estadístico de los datos.",124,COLABORA_EN,analisis estadistico,análisis estadístico
https://portalinvestigacion.uniovi.es/investigadores/217162/detalle,JOSE MANUEL ERRASTI PEREZ,COLABORA_EN,prevención de la conducta suicida,José Manuel Erasti Pérez es mencionado como parte del grupo de investigación en prevención y salud mental.,124,COLABORA_EN,prevencion de la conducta suicida,prevención de la conducta suicida
https://portalinvestigacion.uniovi.es/investigadores/218442/detalle,RAMON SOBRINO SANCHEZ,COLABORA_EN,Festival Universitario de Música,"...Ramón Sobrino, catedrático de Musicología y director del festival.",137,COLABORA_EN,festival universitario de musica,festival universitario de música
https://portalinvestigacion.uniovi.es/investigadores/218756/detalle,NEREA LOPEZ BOUZAS,INVESTIGA_SOBRE,alfabetización mediática y científica,"""la difusión de información científica en redes sociales y medios digitales exige reforzar la alfabetización mediática y científica del alumnado"".",153,INVESTIGA_SOBRE,alfabetizacion mediatica y cientifica,alfabetización mediática y científica
https://portalinvestigacion.uniovi.es/investigadores/219556/detalle,MARIA CARMEN BELLVER MORENO,INVESTIGA_SOBRE,estrategias de enseñanza en ciencias,"""los resultados ponen de manifiesto la importancia de incorporar en la enseñanza de las ciencias estrategias que ayuden al alumnado a analizar críticamente la información"".",153,INVESTIGA_SOBRE,estrategias de ensenanza en ciencias,estrategias de enseñanza en ciencias
https://portalinvestigacion.uniovi.es/investigadores/218643/detalle,CELESTINO RODRIGUEZ PEREZ,LIDERA,dificultades de aprendizaje,"El profesor Celestino Rodríguez, que recogió el premio, ha destacado que 'este reconocimiento pone en valor la importancia de investigar cómo aprenden los estudiantes con dificultades'.",158,LIDERA,dificultades de aprendizaje,dificultades de aprendizaje
https://portalinvestigacion.uniovi.es/investigadores/218643/detalle,CELESTINO RODRIGUEZ PEREZ,INVESTIGA_SOBRE,autoeficacia académica y aprendizaje autorregulado,El trabajo premiado se centra en estudiantes universitarios con dificultades específicas de aprendizaje y/o TDAH.,158,INVESTIGA_SOBRE,autoeficacia academica y aprendizaje autorregulado,autoeficacia académica y aprendizaje autorregulado
https://portalinvestigacion.uniovi.es/investigadores/218896/detalle,MIGUEL ENRIQUE DEL VALLE SOTO,INVESTIGA_SOBRE,ejercicio físico en adolescentes con cáncer,"El trabajo, titulado Efectos del ejercicio físico supervisado sobre la función cardíaca y la capacidad funcional en adolescentes con cáncer durante el tratamiento intensivo.",164,INVESTIGA_SOBRE,ejercicio fisico en adolescentes con cancer,ejercicio físico en adolescentes con cáncer
https://portalinvestigacion.uniovi.es/investigadores/217965/detalle,MARIA MERCEDES GONZALEZ DE SANDE,LIDERA,proyecto Superhéroes,"""Asistirán Claudia García y la profesora María González, responsables del proyecto.""",167,LIDERA,proyecto superheroes,proyecto superhéroes
https://portalinvestigacion.uniovi.es/investigadores/218998/detalle,CARLOS CABO GOMEZ,INVESTIGA_SOBRE,seguimiento de fauna en parques eólicos,"Carlos Cabo, otro de los investigadores principales del proyecto, subraya la necesidad de mejorar los seguimientos de fauna siniestrada en los parques eólicos.",169,INVESTIGA_SOBRE,seguimiento de fauna en parques eolicos,seguimiento de fauna en parques eólicos
https://portalinvestigacion.uniovi.es/investigadores/219310/detalle,EMMA ZAPICO FERNANDEZ,COLABORA_EN,proyecto ESPARDE,Emma Zapico es mencionada como parte del equipo de investigación del proyecto ESPARDE.,188,COLABORA_EN,proyecto esparde,proyecto esparde
https://portalinvestigacion.uniovi.es/investigadores/218038/detalle,ANA BELEN RAMOS GUAJARDO,COLABORA_EN,proyecto ESPARDE,Ana Belén Ramos es mencionada como parte del equipo de investigación del proyecto ESPARDE.,188,COLABORA_EN,proyecto esparde,proyecto esparde
https://portalinvestigacion.uniovi.es/investigadores/216996/detalle,ARTURO COLINA VUELTA,COLABORA_EN,proyecto ESPARDE,Arturo Colina Vuelta es mencionado como parte del equipo de investigación del proyecto ESPARDE.,188,COLABORA_EN,proyecto esparde,proyecto esparde
https://portalinvestigacion.uniovi.es/investigadores/219668/detalle,FERNANDO RUBIERA MOROLLON,LIDERA,Cátedra de Innovación,"el equipo de investigación de la Cátedra, dirigida por el catedrático de Economía Aplicada Fernando Rubiera",191,LIDERA,catedra de innovacion,cátedra de innovación
https://portalinvestigacion.uniovi.es/investigadores/219278/detalle,NOELIA RICO PACHON,DESARROLLA,aplicación para la gestión de licencias urbanísticas,"Noelia Rico, directora del ceiSIA, ha presentado hoy esta aplicación, que está prácticamente finalizada.",192,DESARROLLA,aplicacion para la gestion de licencias urbanisticas,aplicación para la gestión de licencias urbanísticas
https://portalinvestigacion.uniovi.es/investigadores/217363/detalle,ANA ISABEL GONZALEZ GONZALEZ,INVESTIGA_SOBRE,Derecho Financiero y Tributario,"Ana Isabel González, catedrática de Escuela de Derecho Financiero y Tributario de la Universidad de Oviedo.",204,INVESTIGA_SOBRE,derecho financiero y tributario,derecho financiero y tributario
https://portalinvestigacion.uniovi.es/investigadores/219298/detalle,IGNACIO RODRIGUEZ,LIDERA,proyectos de investigación,los equipos de la Universidad de Oviedo forman parte de dos de los cinco consorcios que han logrado ayudas. Los proyectos están liderados por Ignacio Rodríguez Larrad.,211,LIDERA,proyectos de investigacion,proyectos de investigación
https://portalinvestigacion.uniovi.es/investigadores/218756/detalle,NEREA LOPEZ BOUZAS,INVESTIGA_SOBRE,comunicación en personas con autismo,la tesis galardonada analiza el uso de un Entorno de Aprendizaje Gamificado y Aumentado (EGA) en la mejora de la comunicación del alumnado con TEA.,215,INVESTIGA_SOBRE,comunicacion en personas con autismo,comunicación en personas con autismo
https://portalinvestigacion.uniovi.es/investigadores/218756/detalle,NEREA LOPEZ BOUZAS,DESARROLLA,Entorno de Aprendizaje Gamificado y Aumentado,"el entorno incorpora actividades lúdicas y recursos digitales que fomentan la interacción, el manejo del lenguaje y las habilidades socioemocionales.",215,DESARROLLA,entorno de aprendizaje gamificado y aumentado,entorno de aprendizaje gamificado y aumentado
https://portalinvestigacion.uniovi.es/investigadores/218756/detalle,NEREA LOPEZ BOUZAS,LIDERA,investigación sobre gamificación y realidad aumentada,"La investigación en este ámbito 'nos recuerda que cuando el conocimiento se pone al servicio de las personas, puede convertirse en una herramienta profundamente transformadora'.",215,LIDERA,investigacion sobre gamificacion y realidad aumentada,investigación sobre gamificación y realidad aumentada
https://portalinvestigacion.uniovi.es/investigadores/219562/detalle,MARIA PILAR GARCES GARCIA,INVESTIGA_SOBRE,pintura,"María Pilar García Cuetos, catedrática de Historia del Arte, destaca que 'si algo define la pintura de Paz Banciella, me atrevo a decir que es la vida y la evocación cósmica que nos trasmite'.",216,INVESTIGA_SOBRE,pintura,pintura
https://portalinvestigacion.uniovi.es/investigadores/217614/detalle,GERMAN FLOR BLANCO,INVESTIGA_SOBRE,evolución del estuario del Nalón,"""El estuario del Nalón ofrece una gran cantidad de información sobre los cambios naturales y antrópicos.""",217,INVESTIGA_SOBRE,evolucion del estuario del nalon,evolución del estuario del nalón
https://portalinvestigacion.uniovi.es/investigadores/217438/detalle,EFREN GARCIA ORDIALES,INVESTIGA_SOBRE,contaminación antrópica en el estuario del Nalón,"""Hemos podido diferenciar la contaminación generada por la actividad humana de lo que sería un ambiente natural.""",217,INVESTIGA_SOBRE,contaminacion antropica en el estuario del nalon,contaminación antrópica en el estuario del nalón
https://portalinvestigacion.uniovi.es/investigadores/217767/detalle,JOSE MANUEL LOPEZ GARCIA,INVESTIGA_SOBRE,biomedicina,José Manuel López García imparte tres asignaturas relacionadas con la biomedicina desde hace ocho años.,228,INVESTIGA_SOBRE,biomedicina,biomedicina
https://portalinvestigacion.uniovi.es/investigadores/219298/detalle,IGNACIO RODRIGUEZ,COLABORA_EN,red 5G,"El equipo responsable de esta nueva red está formado por los profesores de la institución académica Rafael González Ayestarán, Ignacio Rodríguez Larrad y Luis Fernando Herrán Ontañón.",230,COLABORA_EN,red 5g,red 5g
https://portalinvestigacion.uniovi.es/investigadores/217902/detalle,LUIS FERNANDO HERRAN ONTAÑON,COLABORA_EN,red 5G,"El equipo responsable de esta nueva red está formado por los profesores de la institución académica Rafael González Ayestarán, Ignacio Rodríguez Larrad y Luis Fernando Herrán Ontañón.",230,COLABORA_EN,red 5g,red 5g
https://portalinvestigacion.uniovi.es/investigadores/217335/detalle,RAFAEL GONZALEZ AYESTARAN,COLABORA_EN,red 5G,"El equipo responsable de esta nueva red está formado por los profesores de la institución académica Rafael González Ayestarán, Ignacio Rodríguez Larrad y Luis Fernando Herrán Ontañón.",230,COLABORA_EN,red 5g,red 5g
https://portalinvestigacion.uniovi.es/investigadores/217461/detalle,ALBA GARCIA TORRES,LIDERA,regulación del tiempo desde una perspectiva feminista,La profesora Alba García Torres ha sido reconocida por una investigación sobre la regulación del tiempo desde una perspectiva feminista.,234,LIDERA,regulacion del tiempo desde una perspectiva feminista,regulación del tiempo desde una perspectiva feminista
https://portalinvestigacion.uniovi.es/investigadores/217461/detalle,ALBA GARCIA TORRES,INVESTIGA_SOBRE,invisibilización del trabajo reproductivo y de cuidados,poniendo el foco en la invisibilización histórica del trabajo reproductivo y de cuidados.,234,INVESTIGA_SOBRE,invisibilizacion del trabajo reproductivo y de cuidados,invisibilización del trabajo reproductivo y de cuidados
https://portalinvestigacion.uniovi.es/investigadores/217461/detalle,ALBA GARCIA TORRES,DESARROLLA,enfoque de derecho al tiempo,"propone un enfoque de derecho al tiempo que articule de forma equilibrada trabajo remunerado, los cuidados, el descanso y el ocio.",234,DESARROLLA,enfoque de derecho al tiempo,enfoque de derecho al tiempo
https://portalinvestigacion.uniovi.es/investigadores/217921/detalle,RAQUEL MARIA GONZALEZ SOENGAS,INVESTIGA_SOBRE,impacto de los desastres naturales en la salud mental,María González García ha sido reconocida con el premio al mejor TFM gracias a su trabajo sobre el impacto de los desastres naturales en la salud mental de la población joven.,238,INVESTIGA_SOBRE,impacto de los desastres naturales en la salud mental,impacto de los desastres naturales en la salud mental
https://portalinvestigacion.uniovi.es/investigadores/218267/detalle,SUSANA MONTES RODRIGUEZ,LIDERA,Escuela Internacional de Doctorado,"Susana Montes, directora de la Escuela Internacional de Doctorado.",248,LIDERA,escuela internacional de doctorado,escuela internacional de doctorado
https://portalinvestigacion.uniovi.es/investigadores/218886/detalle,DAVID ROIZ DEL VALLE,LIDERA,Biomedicina y Oncología Molecular,David Roiz del Valle ha defendido recientemente tesis doctoral en Biomedicina y Oncología Molecular.,251,LIDERA,biomedicina y oncologia molecular,biomedicina y oncología molecular
https://portalinvestigacion.uniovi.es/investigadores/216929/detalle,DAVID ALVAREZ FERNANDEZ,INVESTIGA_SOBRE,cormorán moñudo,Nuestros resultados con el cormorán moñudo muestran como una parte de los jóvenes realiza una dispersión que puede alcanzar varios centenares de kilómetros.,253,INVESTIGA_SOBRE,cormoran monudo,cormorán moñudo
https://portalinvestigacion.uniovi.es/investigadores/216929/detalle,DAVID ALVAREZ FERNANDEZ,INVESTIGA_SOBRE,paíño europeo,"Los datos muestran que los paíños presentan una distribución considerablemente más pelágica, alejada de la costa, durante las horas diurnas.",253,INVESTIGA_SOBRE,paino europeo,paíño europeo
https://portalinvestigacion.uniovi.es/investigadores/216929/detalle,DAVID ALVAREZ FERNANDEZ,COLABORA_EN,proyecto CORMIÑOS,"CORMIÑOS, llevado a cabo entre 2022 y 2025 por la consultora CORY'S, en colaboración con David Álvarez, investigador del Departamento de Biología de Organismos y Sistemas de la Universidad de Oviedo.",253,COLABORA_EN,proyecto corminos,proyecto cormiños
https://portalinvestigacion.uniovi.es/investigadores/217454/detalle,MARIA JOSE GARCIA SALGADO,COLABORA_EN,proyecto de investigación SMARTWAR,"han formado parte profesores de la Universidad de Oviedo, entidad beneficiaria del proyecto (Vicente Domínguez, María José García Salgado, Lucía Payero y Davide de Pietri)",264,COLABORA_EN,proyecto de investigacion smartwar,proyecto de investigación smartwar
https://portalinvestigacion.uniovi.es/investigadores/217928/detalle,JUAN MANUEL MARCHANTE GAYON,DESARROLLA,modificaciones de planes de estudio,Marchante ha explicado el objetivo de tales cambios es 'mantener una actualización constante de los planes de estudio'.,265,DESARROLLA,modificaciones de planes de estudio,modificaciones de planes de estudio
https://portalinvestigacion.uniovi.es/investigadores/217331/detalle,BEGOÑA FERNANDEZ PEREZ,LIDERA,materiales refractarios,"La cátedra será dirigida por Begoña Fernández, profesora titular del Departamento de Ciencia de los Materiales e Ingeniería Metalúrgica.",272,LIDERA,materiales refractarios,materiales refractarios
https://portalinvestigacion.uniovi.es/investigadores/218679/detalle,ALVARO RUBIO ORDOÑEZ,COLABORA_EN,materiales refractarios,"contará en su comisión de seguimiento con Álvaro Rubio, profesor titular del Departamento de Geología y experto en el análisis microestructural de materiales refractarios.",272,COLABORA_EN,materiales refractarios,materiales refractarios
https://portalinvestigacion.uniovi.es/investigadores/218112/detalle,MIRIAM PERANDONES LOZANO,COLABORA_EN,La poética del Carnaval de Cádiz,Miriam Perandones coordinará el diálogo sobre La poética del Carnaval de Cádiz.,274,COLABORA_EN,la poetica del carnaval de cadiz,la poética del carnaval de cádiz
https://portalinvestigacion.uniovi.es/investigadores/220157/detalle,MARIA ESTEBAN GARCIA,COLABORA_EN,décima-canción,María Esteban estará acompañada en el diálogo titulado Un traficante de rimas: la ruta décima-canción.,274,COLABORA_EN,decimacancion,décima-canción
https://portalinvestigacion.uniovi.es/investigadores/219264/detalle,ISABEL QUIROS GONZALEZ,DESARROLLA,método in vitro para identificar radicales libres en sangre,"el galardón fue para la investigadora Isabel Quirós, profesora del área de Biología Celular de la Universidad de Oviedo, por el desarrollo de un método in vitro para identificar radicales libres en sangre y su uso en diagnóstico de patologías.",278,DESARROLLA,metodo in vitro para identificar radicales libres en sangre,método in vitro para identificar radicales libres en sangre
https://portalinvestigacion.uniovi.es/investigadores/217922/detalle,SONIA GONZALEZ SOLARES,LIDERA,investigación en fisiología,"el premio ‘Da Vinci’ reconoció la trayectoria y la labor investigadora de Sonia González Solares, catedrática del área de Fisiología de la Universidad de Oviedo.",278,LIDERA,investigacion en fisiologia,investigación en fisiología
https://portalinvestigacion.uniovi.es/investigadores/217756/detalle,JOSE ANTONIO LOPEZ CEREZO,LIDERA,Cátedra de Cultura Científica,"José Antonio López Cerezo, catedrático de Lógica y Filosofía de la Ciencia e integrante del grupo de investigación de Estudios Sociales de la Ciencia (CTS), será el director.",290,LIDERA,catedra de cultura cientifica,cátedra de cultura científica
https://portalinvestigacion.uniovi.es/investigadores/216988/detalle,ROSA MARIA CID LOPEZ,COLABORA_EN,promoción de la igualdad y lucha contra la violencia de género,...impulsoras de un proyecto clave en la promoción de la igualdad y la lucha contra la violencia de género...,297,COLABORA_EN,promocion de la igualdad y lucha contra la violencia de genero,promoción de la igualdad y lucha contra la violencia de género
